chain_id,task,model,sample_index,seeded_from_main_experiment,turn,correct,turn_speedup,best_speedup_so_far,gap_vs_eager_x,gap_vs_torch_compile_x
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,46,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,47,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,48,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,49,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,50,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,51,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,52,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,53,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,54,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,55,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,56,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,57,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,58,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,59,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,60,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,61,0,,0.9619469216182842,-0.03805307838171579,
